vertex,vid
0,0
12 hour clock,1
24 hour clock,2
5,3
a.c,4
a.m,5
ab extra,6
ab intra,7
abactinal,8
abandon,9
abapical,10
abase,11
abash,12
abate,13
abaxial,14
abbreviate,15
abderian,16
abducent,17
abduction,18
abductive,19
abductor,20
1,21
3,22
d.c,23
afternoon,24
p.m,25
pm,26
actinal,27
arrogate,28
maintain,29
apical,30
exalt,31
extoll,32
embolden,33
reassure,34
accelerate,35
augment,36
intensify,37
revive,38
rise,39
adaxial,40
lengthen,41
agelastic,42
adducent,43
adduction,44
deduce,45
abductee,46
